name,href,location,active_years,description
Faisal Ajmi,https://www.rekhta.org/poets/faisal-ajmi,Pakistan,1951,
Faisal Azeem,https://www.rekhta.org/poets/faisal-azeem,Canada,1974,
Faisal Farooq,https://www.rekhta.org/poets/faisal-farooq,,2002,
Faisal Fehmi,https://www.rekhta.org/poets/faisal-fehmi,,,
Faisal Hashmi,https://www.rekhta.org/poets/faisal-hashmi-1,Oslo,,
Faisal Imam Rizvi,https://www.rekhta.org/poets/faisal-imam-rizvi,,1988,
Faisal Imtiyaz Khan,https://www.rekhta.org/poets/faisal-imtiyaz-khan,Anantnag,2001,
Faisal Khayyam,https://www.rekhta.org/poets/faisal-khayyam,Bahawalpur,1990,
Faisal Malik,https://www.rekhta.org/poets/faisal-malik,Rawalpindi,1982,
Faisal Nadeem Faisal,https://www.rekhta.org/poets/faisal-nadeem-faisal,Lahore,1983,
Faisal Qadri Gunnauri,https://www.rekhta.org/poets/faisal-qadri-gunnauri,Gunnaur,1995,
Faisal Rehan,https://www.rekhta.org/poets/faisal-rehan,,,
Faisal Saeed Zirgham,https://www.rekhta.org/authors/faisal-saeed-zirgham,Karachi,1974,Young Pakistani poet and short story writer.
Faisal Saghar,https://www.rekhta.org/poets/faisal-saghar,,,
Faiyaz Ahmed,https://www.rekhta.org/poets/faiyaz-ahmed,Delhi,1974,
Faiyaz Aswad,https://www.rekhta.org/poets/faiyaz-aswad,,,
Faiyaz Gwaliari,https://www.rekhta.org/authors/faiyaz-gwaliari,Gwalior,1906 -1980,
FaIyaz Rashk,https://www.rekhta.org/poets/faiyaz-rashk,,1953,
Faiyaz Rifat,https://www.rekhta.org/authors/faiyaz-rifat,Lucknow,1940 -2022,
Faiz,https://www.rekhta.org/poets/faiz,Mumbai,1947,
Faiz Ahmad Faiz,https://www.rekhta.org/poets/faiz-ahmad-faiz,Lahore,1911 -1984,One of the widely celebrated and popular Urdu poets. Equally sung in romance and rebel. Faced political repression against his revolutionary views
Faiz Alam Babar,https://www.rekhta.org/poets/faiz-alam-babar,,,
faiz anwar,https://www.rekhta.org/poets/faiz-anwar,Mumbai,1965,
Faiz Dakani,https://www.rekhta.org/poets/faiz-dakani,,-1682,
Faiz Jhanjhanvi,https://www.rekhta.org/authors/faiz-jhanjhanvi,Faisalabad,1910 -1981,
Faiz Khalilabadi,https://www.rekhta.org/poets/faiz-khalilabadi,Sant Kabir Nagar,1980,
Faiz Ludhianvi,https://www.rekhta.org/poets/faiz-ludhianvi,Lahore,1911 -1995,
Faiz rahil Khan,https://www.rekhta.org/poets/faiz-rahil-khan,Jaunpur,1994,
